小韻,字,漢音
1362,主,シュ
1363,傴,ウ
1364,齲,ク
1365,拄,チュ
1366,乳,ジュ
1367,窶,ク
1368,數,ス
1369,矩,ク
1370,取,シュ
1371,縷,ル
1372,𦄼,シュ
1373,䝒,
1374,姥,ボ
1375,土,ト
1376,杜,ト
1377,魯,ロ
1378,蔖,ソ
1379,覩,ト
1380,古,コ
1381,五,ゴ
1382,簿,ホ
1383,粗,ソ
1384,祖,ソ
1385,虎,コ
1386,隖,ヲ
1387,苦,コ
1388,怒,ド
1389,戸,コ
1390,普,ホ
1391,補,ホ
1392,薺,セイ
1393,禮,レイ
1394,體,テイ
1395,䫌,ヘイ
1396,濟,セイ
1397,邸,テイ
1398,弟,テイ
1399,禰,デイ
1400,洗,セイ
1401,泚,セイ
1402,啓,ケイ
1403,徯,ケイ
1404,米,ベイ
1405,陛,ヘイ
1406,𠯋,エイ
1407,堄,ゲイ
1408,㪏,ヘイ
1409,蟹,カイ
1410,買,バイ
1411,䒓,
1412,廌,
1413,嬭,ダイ
1414,罷,ハイ
1415,矮,アイ
1416,擺,ハイ
1417,解,カイ
1418,灑,サイ
1419,𠁥,クヮイ
1420,㧳,
1421,夥,クヮ
1422,扮,
1423,箉,
1424,駭,カイ
1425,楷,カイ
1426,騃,ガイ
1427,挨,アイ
1428,賄,クヮイ
1429,猥,ワイ
1430,磥,ライ
1431,錞,タイ
1432,辠,サイ
1433,浼,バイ
1434,骽,タイ
1435,瘣,クヮイ
1436,䫥,クヮイ
1437,𦞙,タイ
1438,餧,ダイ
1439,𩬳,
1440,頠,グヮイ
1441,皠,サイ
1442,琲,ハイ
1443,嶊,サイ
1444,倄,
1445,海,カイ
1446,愷,カイ
1447,宰,サイ
1448,駘,タイ
1449,乃,ダイ
1450,改,カイ
1451,亥,カイ
1452,啡,ハイ
1453,采,サイ
1454,茝,サイ
1455,等,タイ
1456,䆀,バイ
1457,在,サイ
1458,俖,ハイ
1459,欸,アイ
1460,佁,
1461,㘆,タイ
1462,疓,
1463,𨦂,ライ
1464,䑂,
1465,倍,ハイ
1466,軫,シン
1467,辴,チン
1468,腎,シン
1469,忍,ジン
1470,矤,シン
1471,嶙,リン
1472,紖,チン
1473,緊,キン
1474,盡,シン
1475,㯸,シン
1476,牝,ヒン
1477,釿,ギン
1478,笉,シン
1479,窘,クヰン
1480,引,イン
1481,愍,ビン
1482,泯,ミン
1483,殞,ヰン
1484,準,シュン
1485,尹,ヰン
1486,筍,シュン
1487,蝡,ジュン
1488,蠢,シュン
1489,盾,シュン
1490,偆,シュン
1491,耣,リン
1492,𣯍,ジュン
1493,𦃢,クヰン
1494,螼,
1495,賰,シュン
1496,脪,
1497,濜,
1498,屒,チン
1499,吻,ブン
1500,粉,フン
1501,憤,フン
1502,忿,フン
1503,惲,ウン
1504,齳,
1505,抎,ウン
1506,𧼐,
1507,隱,イン
1508,謹,キン
1509,𧤛,シン
1510,赾,
1511,近,キン
1512,齔,シン
1513,听,ギン
1514,䘆,キン
1515,阮,グヱン
1516,遠,ヱン
1517,偃,エン
1518,湕,ケン
1519,寋,ケン
1520,𧥛,
1521,𧥜,ゲン
1522,幰,ケン
1523,晚,バン
1524,反,ハン
1525,𧯦,クヱン
1526,婉,ヱン
1527,䅚,クヱン
1528,暅,クヱン
1529,飯,ハン
1530,混,コン
1531,翉,ホン
1532,忖,ソン
1533,本,ホン
1534,損,ソン
1535,𠟃,ソン
1536,穩,ヲン
1537,囤,トン
1538,鱒,ソン
1539,𩩌,コン
1540,畽,トン
1541,閫,コン
1542,㤻,ロン
1543,獖,ホン
1544,懣,モン
1545,㶧,ドン
1546,𦃕,コン
1547,很,コン
1548,墾,コン
1549,䫀,コン
1550,旱,カン
1551,亶,タン
1552,坦,タン
1553,散,サン
1554,但,タン
1555,瓉,サン
1556,笴,カン
1557,嬾,ラン
1558,侃,カン
1559,䍐,カン
1560,䰖,サン
1561,緩,クヮン
1562,短,タン
1563,椀,ワン
1564,疃,タン
1565,算,サン
1566,管,クヮン
1567,卵,ラン
1568,款,クヮン
1569,煗,ダン
1570,纂,サン
1571,伴,ハン
1572,滿,バン
1573,粄,ハン
1574,鄹,
1575,斷,タン
1576,攤,ダン
1577,坢,ハン
1578,潸,サン
1579,綰,ワン
1580,版,ハン
1581,䩆,
1582,赧,ダン
1583,僩,カン
1584,睆,クヮン
1585,阪,ハン
1586,矕,バン
1587,𪘪,
1588,𪗙,ガン
1589,㹽,サン
1590,眅,ハン
1591,撰,サン
1592,産,サン
1593,限,カン
1594,𥇅,ガン
1595,簡,カン
1596,剗,サン
1597,棧,サン
1598,眼,ガン
1599,醆,サン
1600,㦃,
1601,齦,カン
1602,銑,セン
1603,腆,テン
1604,典,テン
1605,蝘,エン
1606,殄,テン
1607,繭,ケン
1608,峴,ケン
1609,顯,ケン
1610,㨠,ベン
1611,撚,ネン
1612,編,ヘン
1613,泫,クヱン
1614,𡿨,クヱン
1615,辮,ヘン
1616,犬,クヱン
1617,𥧬,ケン
1618,齞,ゲン
1619,獮,セン
1620,演,エン
1621,踐,セン
1622,展,テン
1623,𦗢,セン
1624,趁,デン
1625,淺,セン
1626,闡,セン
1627,遣,ケン
1628,蹇,ケン
1629,善,セン
1630,翦,セン
1631,蹨,ゼン
1632,𦆀,
1633,輦,レン
1634,齴,ゲン
1635,件,ケン
1636,辯,ヘン
1637,緬,ベン
1638,褊,ヘン
1639,臇,セン
1640,雋,ゼン
1641,辡,ヘン
1642,兖,ヱン
1643,臠,レン
1644,轉,テン
1645,卷,クヱン
1646,圈,クヱン
1647,輭,ゼン
1648,舛,セン
1649,膞,セン
1650,篆,テン
1651,剸,セン
1652,選,セン
1653,撰,セン
1654,蜎,
1655,蠉,クヱン
1656,楩,ヘン
1657,免,ベン
1658,搌,
1659,鴘,ヘン
1660,㒄,セン
1661,㫃,エン
1662,邅,テン
1663,棧,セン
1664,篠,セウ
1665,皎,ケウ
1666,鳥,テウ
1667,了,レウ
1668,朓,テウ
1669,䥵,
1670,杳,エウ
1671,嬲,デウ
1672,皛,ケウ
1673,窕,テウ
1674,磽,ケウ
1675,湫,セウ
1676,小,セウ
1677,肇,テウ
1678,沼,セウ
1679,夭,エウ
1680,巐,テウ
1681,少,セウ
1682,擾,ゼウ
1683,摽,ヘウ
1684,𪍑,セウ
1685,縹,ヘウ
1686,眇,ベウ
1687,紹,セウ
1688,矯,ケウ
1689,表,ヘウ
1690,褾,
1691,藨,
1692,鷕,エウ
1693,悄,セウ
1694,𠞰,セウ
1695,𨲭,ケウ
1696,繚,レウ
1697,麃,ヘウ
1698,闄,エウ
1699,巧,カウ
1700,澩,カウ
1701,飽,ハウ
1702,㺒,ダウ
1703,卯,バウ
1704,絞,カウ
1705,爪,サウ
1706,拗,アウ
1707,鮑,ハウ
1708,齩,ガウ
1709,䰫,サウ
1710,煼,サウ
1711,䝤,タウ
1712,𢾐,サウ
1713,晧,カウ
1714,抱,ホウ
1715,老,ラウ
1716,討,タウ
1717,道,タウ
1718,堖,ダウ
1719,㛮,サウ
1720,倒,タウ
1721,草,サウ
1722,早,サウ
1723,皁,サウ
1724,暠,カウ
1725,好,カウ
1726,蓩,ボウ
1727,寶,ホウ
1728,襖,アウ
1729,考,カウ
1730,𦽀,ガウ
1731,哿,カ
1732,瑳,サ
1733,嚲,タ
1734,縒,サ
1735,爹,タ
1736,我,ガ
1737,袉,タ
1738,㰁,ラ
1739,橠,ダ
1740,荷,カ
1741,㰤,カ
1742,可,カ
1743,𨵌,ア
1744,左,サ
1745,果,クヮ
1746,埵,タ
1747,鎖,サ
1748,墮,タ
1749,妥,タ
1750,麼,バ
1751,坐,サ
1752,㛂,グヮ
1753,裸,ラ
1754,婐,ワ
1755,㛂,ダ
1756,跛,ハ
1757,叵,ハ
1758,禍,クヮ
1759,火,クヮ
1760,顆,クヮ
1761,爸,ハ
1762,脞,サ
1763,硰,サ
1764,馬,バ
1765,者,シャ
1766,野,ヤ
1767,雅,ガ
1768,檟,カ
1769,灑,サ
1770,啞,ア
1771,灺,シャ
1772,下,カ
1773,寫,シャ
1774,𡎬,
1775,乜,
1776,且,シャ
1777,㗿,カ
1778,社,シャ
1779,跒,
1780,跁,ハ
1781,捨,シャ
1782,姐,シャ
1783,把,ハ
1784,踝,クヮ
1785,寡,クヮ
1786,瓦,グヮ
1787,若,ジャ
1788,鮓,サ
1789,觰,タ
1790,槎,サ
1791,奲,シャ
1792,䋾,タ
1793,䋈,ダ
1794,髁,クヮ
1795,䂳,
1796,䊬,
1797,葰,
1798,奼,タ
1799,藞,
1800,養,ヤウ
1801,像,ヤウ
1802,㢡,シャウ
1803,㒳,リャウ
1804,鞅,ヤウ
1805,勥,キャウ
1806,仰,ギャウ
1807,磢,サウ
1808,想,シャウ
1809,掌,シャウ
1810,𤕤,サウ
1811,響,キャウ
1812,敞,シャウ
1813,繈,キャウ
1814,丈,チャウ
1815,昶,タウ
1816,獷,クヮウ
1817,壤,ジャウ
1818,賞,シャウ
1819,髣,ハウ
1820,网,バウ
1821,昉,ハウ
1822,枉,ワウ
1823,往,ワウ
1824,怳,クヮウ
1825,搶,シャウ
1826,長,チャウ
1827,上,シャウ
1828,俇,クヰャウ
1829,臩,クヮウ
1830,𩦠,ハウ
1831,䫪,サウ
1832,蕩,タウ
1833,顙,サウ
1834,廣,クヮウ
1835,榜,ハウ
1836,駔,サウ
1837,曩,ダウ
1838,沆,カウ
1839,曭,タウ
1840,莽,バウ
1841,黨,タウ
1842,朗,ラウ
1843,坱,アウ
1844,慷,カウ
1845,㳹,ワウ
1846,晃,クヮウ
1847,髈,ハウ
1848,慌,クヮウ
1849,䴚,カウ
1850,䭹,ガウ
1851,奘,サウ
1852,蒼,サウ
1853,汻,カウ
1854,懬,クヮウ
1855,梗,カウ
1856,丙,ヘイ
1857,警,ケイ
1858,影,エイ
1859,省,セイ
1860,永,ヱイ
1861,𦬺,クヱイ
1862,皿,メイ
1863,憬,ケイ
1864,杏,カウ
1865,猛,バウ
1866,礦,クヮウ
1867,浜,ハウ
1868,盯,タウ
1869,瑒,タウ
1870,䁝,
1871,打,
1872,冷,
1873,卝,クヮウ
1874,鮩,ハウ
1875,𥉁,
1876,檸,ダウ
1877,耿,カウ
1878,䁅,バウ
1879,幸,カウ
1880,𠊧,
1881,皏,ハウ
1882,靜,セイ
1883,整,セイ
1884,逞,テイ
1885,郢,エイ
1886,痙,ケイ
1887,潁,エイ
1888,領,レイ
1889,頸,ケイ
1890,餅,ヘイ
1891,頃,ケイ
1892,井,セイ
1893,廮,エイ
1894,請,セイ
1895,省,セイ
1896,眳,メイ
1897,徎,テイ
1898,迥,ケイ
1899,熲,ケイ
1900,茗,メイ
1901,頂,テイ
1902,挺,テイ
1903,珽,テイ
1904,汫,
1905,濙,ヱイ
1906,謦,ケイ
1907,𩕳,ネイ
1908,婞,ケイ
1909,醒,セイ
1910,鞞,ヘイ
1911,褧,ケイ
1912,剄,ケイ
1913,頩,
1914,巊,
1915,笭,レイ
1916,竝,ヘイ
1917,詗,ケイ
1918,䀴,
1919,拯,ショウ
1920,庱,
1921,殑,
1922,㱡,
1923,等,トウ
1924,倗,
1925,肯,コウ
1926,能,ドウ
1927,有,イウ
1928,柳,リウ
1929,狃,ヂウ
1930,丑,チウ
1931,肘,チウ
1932,朽,キウ
1933,久,キウ
1934,首,シウ
1935,醜,シウ
1936,湫,シウ
1937,婦,ホウ
1938,缶,フウ
1939,糗,キウ
1940,蹂,ジウ
1941,舅,キウ
1942,紂,チウ
1943,酉,イウ
1944,受,シウ
1945,滫,シウ
1946,䬀,イウ
1947,酒,シウ
1948,𣸈,
1949,帚,シウ
1950,㤱,フウ
1951,掫,スウ
1952,𥣙,シウ
1953,𩋄,シウ
1954,秠,フウ
1955,厚,コウ
1956,母,ボウ
1957,部,ホウ
1958,斗,トウ
1959,𪌜,トウ
1960,苟,コウ
1961,藕,ゴウ
1962,㨐,
1963,㝅,
1964,叜,ソウ
1965,吼,コウ
1966,剖,ホウ
1967,歐,オウ
1968,塿,ロウ
1969,走,ソウ
1970,口,コウ
1971,䕆,トウ
1972,鯫,ソウ
1973,趣,ソウ
1974,黝,イウ
1975,糾,キウ
1976,蟉,キウ
1977,寑,シム
1978,朕,チム
1979,坅,キム
1980,廩,リム
1981,罧,シム
1982,踸,チム
1983,䤐,シム
1984,荏,ジム
1985,枕,シム
1986,沈,シム
1987,葚,シム
1988,甚,シム
1989,瀋,シム
1990,墋,シム
1991,拰,ヂム
1992,噤,キム
1993,錦,キム
1994,蕈,シム
1995,僸,ギム
1996,㾕,シム
1997,稟,ヒム
1998,㱃,イム
1999,品,ヒム
2000,𩖄,キム
2001,廞,キム
2002,戡,チム
2003,潭,イム
2004,𩒣,シム
2005,感,カム
2006,禫,タム
2007,晻,アム
2008,腩,ダム
2009,襑,タム
2010,歜,サム
2011,慘,サム
2012,顉,ガム
2013,昝,サム
2014,糂,サム
2015,坎,カム
2016,頷,カム
2017,壈,ラム
2018,黕,タム
2019,䫲,
2020,敢,カム
2021,㶒,
2022,覽,ラム
2023,𦵹,
2024,膽,タム
2025,噉,タム
2026,黲,
2027,㛧,
2028,䭕,
2029,槧,サム
2030,喊,カム
2031,埯,
2032,𠪚,カム
2033,琰,エム
2034,斂,レム
2035,險,ケム
2036,貶,ヘム
2037,颭,セム
2038,𩑳,
2039,顩,ゲム
2040,儉,ケム
2041,檢,ケム
2042,黶,エム
2043,冉,ゼム
2044,陝,セム
2045,諂,テム
2046,奄,エム
2047,漸,セム
2048,憸,セム
2049,𩟗,セム
2050,脥,
2051,剡,セム
2052,忝,テム
2053,淰,デム
2054,點,テム
2055,簟,テム
2056,嗛,ケム
2057,稴,
2058,鼸,ケム
2059,憯,セム
2060,孂,ケム
2061,𡕢,
2062,儼,ゲム
2063,欦,ケム
2064,埯,エム
2065,豏,カム
2066,湛,タム
2067,㦿,
2068,鹼,カム
2069,瀺,サム
2070,臉,レム
2071,斬,サム
2072,䑎,
2073,闞,カム
2074,摻,
2075,黯,
2076,喊,カム
2077,𦊔,ダム
2078,𠐩,
2079,檻,カム
2080,䫡,カム
2081,㨻,サム
2082,黤,ヱム
2083,醶,サム
2084,㺖,
2085,巉,サム
2086,范,ハム
2087,錽,
2088,𦜒,
2089,凵,カム
2090,釩,ハム
2091,𠑆,
2092,送,ソウ
2093,鳳,フウ
2094,貢,コウ
2095,弄,ロウ
2096,涷,トウ
2097,控,コウ
2098,糉,ソウ
2099,瓮,ヲウ
2100,𧩪,ソウ
2101,洞,トウ
2102,痛,トウ
2103,仲,チウ
2104,諷,フウ
2105,焪,キウ
2106,㝱,ボウ
2107,𧽒,
2108,𢄐,モウ
2109,趥,
2110,賵,ホウ
2111,𣀒,ソウ
2112,中,チウ
2113,哄,コウ
2114,齈,
2115,衆,シウ
2116,銃,シウ
2117,㓽,スウ
2118,烘,コウ
2119,宋,ソウ
2120,綜,ソウ
2121,統,トウ
2122,雺,
2123,䃔,
2124,用,ヨウ
2125,頌,ショウ
2126,俸,ホウ
2127,共,キョウ
2128,葑,ホウ
2129,供,キョウ
2130,雍,ヨウ
2131,湩,チョウ
2132,縱,ショウ
2133,蹱,チョウ
2134,䩸,ジョウ
2135,種,ショウ
2136,重,チョウ
2137,贚,リョウ
2138,恐,キョウ
2139,從,ショウ
2140,𢫨,ヂョウ
2141,絳,カウ
2142,巷,カウ
2143,戇,タウ
2144,䡴,タウ
2145,𥈄,タウ
2146,漴,サウ
2147,肨,ハウ
2148,䎫,ソウ
2149,淙,サウ
2150,寘,シ
2151,避,ヒ
2152,惴,スイ
2153,詈,リ
2154,豉,シ
2155,積,シ
2156,賜,シ
2157,爲,ヰ
2158,䞈,クヰ
2159,帔,ヒ
2160,賁,ヒ
2161,髲,ヒ
2162,累,ルイ
2163,寄,キ
2164,臂,ヒ
2165,芰,キ
2166,刺,シ
2167,易,イ
2168,議,ギ
2169,譬,ヒ
2170,漬,シ
2171,智,チ
2172,倚,イ
2173,縋,ツイ
2174,吹,スイ
2175,戲,キ
2176,企,キ
2177,縊,イ
2178,翅,シ
2179,屣,シ
2180,觖,クヰ
2181,餧,ヰ
2182,僞,グヰ
2183,毁,クヰ
2184,恚,イ
2185,睡,スイ
2186,馶,キ
2187,䄲,ヰ
2188,卶,シ
2189,䅗,スイ
2190,娷,
2191,瓗,
2192,諉,
2193,瞡,
2194,𧙁,
2195,孈,キ
2196,㞆,キ
2197,至,シ
2198,位,ヰ
2199,郿,ビ
2200,遂,スイ
2201,醉,スイ
2202,邃,スイ
2203,類,ルイ
2204,祕,ヒ
2205,匱,クヰ
2206,濞,ヒ
2207,備,ヒ
2208,媿,クヰ
2209,帥,スイ
2210,喟,クヰ
2211,豷,
2212,嗜,シ
2213,利,リ
2214,膩,ヂ
2215,屁,ヒ
2216,劓,ギ
2217,致,チ
2218,棄,キ
2219,緻,チ
2220,寐,ビ
2221,杘,チ
2222,冀,キ
2223,臮,キ
2224,悸,クヰ
2225,翠,スイ
2226,二,ジ
2227,恣,シ
2228,次,シ
2229,懿,イ
2230,四,シ
2231,器,キ
2232,季,クヰ
2233,鼻,ヒ
2234,䁤,
2235,痹,ヒ
2236,萃,スイ
2237,地,チ
2238,齂,
2239,肄,イ
2240,示,シ
2241,自,シ
2242,墜,ツイ
2243,出,スイ
2244,遺,ヰ
2245,侐,
2246,轛,ツイ
2247,痓,シ
2248,屍,シ
2249,㿷,
2250,㽷,スイ
2251,志,シ
2252,值,チ
2253,寺,シ
2254,蛓,
2255,笥,シ
2256,試,シ
2257,胾,シ
2258,吏,リ
2259,字,シ
2260,眙,チ
2261,餌,ジ
2262,𩢲,シ
2263,廁,シ
2264,異,イ
2265,置,チ
2266,侍,シ
2267,事,シ
2268,忌,キ
2269,熾,シ
2270,意,イ
2271,記,キ
2272,憙,キ
2273,䰯,ギ
2274,亟,キ
2275,未,ビ
2276,貴,クヰ
2277,胃,ヰ
2278,魏,グヰ
2279,沸,ヒ
2280,費,ヒ
2281,𥽂,
2282,尉,ヰ
2283,諱,クヰ
2284,𥝋,ヒ
2285,旣,キ
2286,毅,ギ
2287,氣,キ
2288,欷,キ
2289,䤒,キ
2290,衣,イ
2291,御,ギョ
2292,慮,リョ
2293,據,キョ
2294,覰,ショ
2295,㰦,キョ
2296,署,ショ
2297,恕,ショ
2298,著,チョ
2299,䬡,ショ
2300,䟽,ショ
2301,飫,ヨ
2302,箸,チョ
2303,遽,キョ
2304,絮,ショ
2305,助,ショ
2306,怚,ショ
2307,詛,ショ
2308,洳,ジョ
2309,豫,ヨ
2310,噓,キョ
2311,女,ヂョ
2312,楚,ショ
2313,處,ショ
2314,絮,チョ
2315,𡲁,ショ
2316,遇,グ
2317,嫗,ウ
2318,樹,シュ
2319,住,チュ
2320,附,フ
2321,注,シュ
2322,屨,ク
2323,昫,ク
2324,戍,シュ
2325,裕,ユ
2326,孺,ジュ
2327,赴,フ
2328,務,ブ
2329,緅,シュ
2330,懼,ク
2331,芋,ウ
2332,埾,シュ
2333,捒,ス
2334,付,フ
2335,娶,シュ
2336,註,チュ
2337,驅,ク
2338,菆,ス
2339,䦌,チュ
2340,尠,シュ
2341,屢,ル
2342,暮,ボ
2343,渡,ト
2344,路,ロ
2345,妒,ト
2346,菟,ト
2347,顧,コ
2348,誤,ゴ
2349,護,コ
2350,訴,ソ
2351,祚,ソ
2352,笯,ド
2353,布,ホ
2354,汙,ヲ
2355,怖,ホ
2356,厝,ソ
2357,絝,コ
2358,捕,ホ
2359,謼,コ
2360,作,ソ
2361,霽,セイ
2362,帝,テイ
2363,嚌,セイ
2364,替,テイ
2365,第,テイ
2366,砌,セイ
2367,細,セイ
2368,詣,ゲイ
2369,計,ケイ
2370,蒵,ケイ
2371,契,ケイ
2372,翳,エイ
2373,謎,ベイ
2374,閉,ヘイ
2375,慧,ケイ
2376,桂,クヱイ
2377,嘒,クヱイ
2378,媲,ヘイ
2379,薜,ヘイ
2380,麗,レイ
2381,𥱻,
2382,泥,デイ
2383,㰥,ケイ
2384,祭,セイ
2385,歲,セイ
2386,衞,ヱイ
2387,芮,ゼイ
2388,贅,セイ
2389,𠻜,
2390,毳,セイ
2391,銳,ヱイ
2392,綴,テイ
2393,稅,セイ
2394,獘,ヘイ
2395,㯔,
2396,篲,セイ
2397,蔽,ヘイ
2398,劌,ケイ
2399,袂,ベイ
2400,㡜,
2401,掣,セイ
2402,制,セイ
2403,逝,セイ
2404,曵,エイ
2405,䋵,
2406,藝,ゲイ
2407,滯,テイ
2408,例,レイ
2409,憩,ケイ
2410,丗,セイ
2411,猘,セイ
2412,㿃,
2413,偈,ケイ
2414,啜,
2415,跇,
2416,𨮱,
2417,㓷,ゲイ
2418,蕝,
2419,潎,
2420,𥏙,
2421,䂕,クヮイ
2422,泰,タイ
2423,蓋,カイ
2424,艾,ガイ
2425,藹,アイ
2426,柰,ダイ
2427,大,タイ
2428,害,カイ
2429,帶,タイ
2430,貝,ハイ
2431,霈,ハイ
2432,會,クヮイ
2433,兊,タイ
2434,儈,クヮイ
2435,最,サイ
2436,𧬨,
2437,𥢶,
2438,酹,ライ
2439,外,グヮイ
2440,祋,
2441,懀,
2442,蕞,サイ
2443,𥕸,
2444,襊,
2445,旆,ハイ
2446,磕,カイ
2447,蔡,サイ
2448,賴,ライ
2449,餀,
2450,娧,タイ
2451,昧,バイ
2452,𦦣,
2453,卦,クヮイ
2454,懈,カイ
2455,隘,アイ
2456,邂,カイ
2457,賣,バイ
2458,畫,クヮ
2459,差,サイ
2460,睚,ガイ
2461,謑,カイ
2462,庍,ハイ
2463,粺,ハイ
2464,㾹,サイ
2465,派,ハイ
2466,債,サイ
2467,𡢖,
2468,曬,サイ
2469,諣,
2470,㠔,ハイ
2471,膪,
2472,怪,クヮイ
2473,噫,アイ
2474,瘵,サイ
2475,誡,カイ
2476,褹,ゲイ
2477,譮,
2478,械,カイ
2479,𦗐,ガイ
2480,蒯,クヮイ
2481,𢷎,
2482,湃,
2483,壞,クヮイ
2484,聵,グヮイ
2485,𢟡,ハイ
2486,䀛,バイ
2487,𧱳,クヮイ
2488,鎩,サイ
2489,烗,カイ
2490,顡,
2491,夬,クヮイ
2492,快,クヮイ
2493,邁,バイ
2494,話,クヮイ
2495,敗,ハイ
2496,䵳,
2497,嘬,
2498,犗,
2499,蠆,
2500,喝,アイ
2501,𠱡,
2502,𦤧,
2503,䜕,
2504,咶,
2505,敗,ハイ
2506,啐,サイ
2507,寨,サイ
2508,㕢,
2509,隊,タイ
2510,佩,ハイ
2511,妹,バイ
2512,配,ハイ
2513,誨,クヮイ
2514,對,タイ
2515,倅,サイ
2516,晬,サイ
2517,𩲄,ワイ
2518,退,タイ
2519,憒,クヮイ
2520,潰,クヮイ
2521,塊,クヮイ
2522,碎,サイ
2523,内,ダイ
2524,纇,ライ
2525,背,ハイ
2526,磑,グヮイ
2527,蚚,クヮイ
2528,代,タイ
2529,載,サイ
2530,䆀,バイ
2531,賽,サイ
2532,貸,タイ
2533,漑,カイ
2534,慨,カイ
2535,礙,ガイ
2536,愛,アイ
2537,瀣,カイ
2538,耐,ダイ
2539,戴,タイ
2540,賚,ライ
2541,菜,サイ
2542,載,サイ
2543,儗,カイ
2544,廢,ハイ
2545,肺,ハイ
2546,穢,ワイ
2547,吠,ハイ
2548,喙,クヮイ
2549,𤜂,
2550,刈,ガイ
2551,震,シン
2552,信,シン
2553,刃,ジン
2554,𦙍,イン
2555,遴,リン
2556,儐,ヒン
2557,敶,チン
2558,愼,シン
2559,眒,シン
2560,菣,
2561,賮,シン
2562,憗,ギン
2563,晉,シン
2564,衅,キン
2565,鎭,チン
2566,僅,キン
2567,櫬,シン
2568,印,イン
2569,疢,チン
2570,𣎵,ヒン
2571,親,シン
2572,螼,
2573,呁,クヰン
2574,稕,シュン
2575,𡺲,シュン
2576,殉,シュン
2577,儁,シュン
2578,舜,シュン
2579,閠,ジュン
2580,順,シュン
2581,問,ブン
2582,運,ウン
2583,訓,クン
2584,湓,フン
2585,糞,フン
2586,醖,ウン
2587,攈,クン
2588,郡,クン
2589,分,フン
2590,焮,キン
2591,靳,キン
2592,近,キン
2593,㒚,イン
2594,垽,ギン
2595,願,グヱン
2596,怨,ヱン
2597,販,ハン
2598,劵,クヱン
2599,万,バン
2600,飯,ハン
2601,嬔,ハン
2602,建,ケン
2603,堰,エン
2604,獻,ケン
2605,楥,クヱン
2606,健,ケン
2607,𣀔,ハン
2608,遠,ヱン
2609,𤬝,ゲン
2610,圈,クヱン
2611,卛,
2612,慁,コン
2613,頓,トン
2614,巽,ソン
2615,困,コン
2616,嫩,ドン
